applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed
A00001,76915,1682.3657910849188,3126.5631435521946,17888.98390961484,64,ON,Part-time,451
A00002,55992,1899.3474366102002,1782.3309891158347,18146.498154798974,79,MB,Unemployed,203
A00003,82945,4607.121713482755,8591.821994111084,27607.612990702935,59,AB,Full-time,423
A00004,128491,2862.798621119409,4035.227665072294,19791.59217467945,36,QC,Full-time,192
A00005,53371,2474.6298123314637,3985.437143653825,1069.8606860890986,34,QC,Full-time,292
A00006,53371,6452.376445533317,1698.8667480662,36856.82922926238,69,MB,Part-time,412
A00007,132151,6509.717452185445,3830.656760857787,37834.13503244569,55,MB,Unemployed,438
A00008,88063,8245.170697999292,8716.168463288503,37601.75562965175,32,QC,Part-time,300
A00009,47446,4177.085669729759,3631.287104896359,17906.012663912865,86,MB,Full-time,259
A00010,78698,730.8509102615023,9516.035624997881,26592.184192247423,48,MB,Part-time,191
A00011,47590,2736.6638492145767,9463.088992083874,18638.702390656803,78,AB,Full-time,270
A00012,47535,9800.054631968169,1448.9865930734602,1785.7836015016428,71,ON,Part-time,431
A00013,67716,5962.585752327021,1773.1125352264487,28559.99812229952,54,BC,Part-time,216
A00014,23050,7097.370848010202,8626.740703318892,7064.272638116541,48,QC,Unemployed,90
A00015,25327,73.57829625414536,3927.6091892471923,4922.02488048059,82,BC,Unemployed,197
A00016,45295,5182.057321825208,43.73982283009337,38019.45436614257,32,QC,Full-time,398
A00017,36159,375.2865753180312,2738.71819705371,1465.8039184871757,41,QC,Unemployed,38
A00018,70208,5692.30212091448,5976.2899319556,47991.413736827584,66,ON,Unemployed,470
A00019,38104,9207.708496360754,7992.65965959968,26247.51284151627,46,QC,Part-time,78
A00020,29612,9684.191305004078,1333.8861709325956,49167.80510460127,25,QC,Full-time,93
A00021,124856,5405.526753889241,1105.4136441673534,3841.881051162713,60,ON,Part-time,42
A00022,53595,4582.048052522159,9220.926535723316,29592.947894429748,28,MB,Part-time,131
A00023,62060,9450.17094248494,7511.483678225826,18117.02476281965,86,BC,Unemployed,76
A00024,29428,6736.098319966951,5897.796007780785,42330.642147900006,62,QC,Unemployed,231
A00025,45702,648.9927953840946,7691.86789995928,18699.914026480026,31,ON,Full-time,38
A00026,63421,4657.255776674976,4288.543613066385,13763.891373810106,51,QC,Unemployed,565
