applicant_id,self_reported_expenses,annual_income,self_reported_debt,requested_amount,age,province,employment_status,months_employed,credit_score,total_credit_limit,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,estimated_debt,DTI,approved_amount,interest_rate,approved
APP00001,1682.3657910849188,70399.3782811588,476.7541607238783,4791.404551138025,64,ON,Full-time,598,588.0,50000.0,9.172426542410628,5,5,On Time,137.5863981361594,0.1292197824304479,10000.0,8.75,0
APP00002,1899.3474366102002,58188.68358066781,328.87909322084914,4849.213871485485,79,ON,Full-time,325,817.0,50000.0,43.76227080143551,4,5,On Time,656.4340620215326,0.2331978319776181,25000.0,5.75,1
APP00003,4607.121713482755,73661.24017976574,834.3253869906991,6973.137610157802,59,ON,Unemployed,0,813.0,50000.0,39.167884200927936,14,3,On Time,587.5182630139191,0.26570898469733684,25000.0,6.75,1
APP00004,2862.798621119409,95782.41828358866,721.1799629195054,5218.5206922749785,36,ON,Full-time,246,693.0,50000.0,19.19077078467117,18,4,On Time,287.8615617700675,0.1460306181044755,15000.0,7.75,1
APP00005,2474.6298123314637,56538.63295314807,423.3536104905224,1015.6830111628589,34,ON,Full-time,315,755.0,50000.0,28.442380568402736,14,8,On Time,426.635708526041,0.18687253582824911,25000.0,6.75,1
APP00006,6452.376445533317,56538.911425385835,315.62219476614774,9049.492275956862,69,ON,Full-time,162,719.0,50000.0,27.934414795097773,6,6,On Time,419.0162219264665,0.21354281352921273,15000.0,7.75,1
APP00007,6509.717452185445,97410.50223336833,716.8322584380388,9268.887456263317,55,ON,Full-time,369,,50000.0,8.575931405222436,16,0,On Time,128.6389710783365,0.13840863078758292,10000.0,9.75,0
APP00008,8245.170697999292,217826.08602268982,872.7545546552491,9216.720651554475,32,ON,Full-time,185,765.0,50000.0,23.353278963928453,20,1,On Time,350.2991844589268,0.23566939650682664,25000.0,6.75,1
APP00009,4177.085669729759,52684.846431673745,378.9483630242922,4795.227332715132,86,BC,Unemployed,0,814.0,43052.20747006111,9.887958189152636,0,0,Last 30-60,127.70952822440672,0.14816739657551356,25000.0,5.75,0
APP00010,730.8509102615023,71374.3241595848,863.3935268422332,6745.184206422891,48,BC,Full-time,276,694.0,50000.0,26.230958147181404,13,8,On Time,393.46437220772106,0.24533417736832208,15000.0,7.75,1
APP00011,2736.6638492145767,52780.662238465644,636.1428458467079,4959.708699943364,78,ON,Full-time,529,771.0,50000.0,9.60850758882996,18,9,Late>60,144.12761383244938,0.21122775227334087,14514.682115578053,8.75,0
APP00012,9800.054631968169,52744.06530270409,283.4548083344415,1176.4004003371035,71,ON,Full-time,436,649.0,50000.0,39.99845516935165,15,0,On Time,599.9768275402747,0.209022260823963,10000.0,9.75,0
APP00013,5962.585752327021,65219.5237063878,368.1159779643615,7186.938353985606,54,BC,Part-time,260,793.0,50000.0,40.32752456270581,1,2,On Time,604.9128684405871,0.21870205658826633,25000.0,5.75,1
APP00014,7097.370848010202,34164.466495756955,387.9586051707548,2361.3673269241212,48,BC,Full-time,245,720.0,17614.254617780607,24.598431302400186,20,5,Late <30,129.98490964753844,0.20680593435842737,15000.0,7.75,0
APP00015,73.57829625414536,57205.66721967864,268.9490376437593,1880.4545650058467,82,ON,Part-time,338,718.0,50000.0,26.67086472949418,6,5,On Time,400.0629709424127,0.24080088614349973,15000.0,7.75,1
APP00016,5182.057321825208,51238.127221820585,215.35981892994263,9310.48975566466,32,BC,Unemployed,0,757.0,50000.0,40.23890145079243,11,8,On Time,603.5835217618865,0.2572126874053409,25000.0,6.75,1
APP00017,375.2865753180312,44760.2670588319,288.65591099430515,1104.5682265991618,41,BC,Full-time,50,842.0,40947.383486479004,28.524090748389497,8,8,On Time,350.3960647432298,0.18021045897299928,24618.14688235755,6.75,1
APP00018,5692.30212091448,66649.28945759883,609.6349373711971,11549.092879695987,66,BC,Unemployed,0,762.0,38743.054896094574,9.981264077918986,16,3,On Time,116.01139863096961,0.19303175732880587,25000.0,6.75,1
APP00019,9207.708496360754,46189.98332029579,500.10894413599095,6667.809005238346,46,ON,Full-time,272,633.0,50000.0,33.65046099248101,6,0,On Time,504.7569148872151,0.31302894070998954,9526.684059811008,10.75,0
APP00020,9684.191305004078,39705.07747407286,209.5728676073645,11813.180737767632,25,ON,Full-time,235,662.0,22363.203171993257,30.20387114466816,13,9,On Time,202.63659209667557,0.23168972754308012,15000.0,7.75,1
APP00021,5405.526753889241,94147.69914912025,479.0088724600016,1637.9732971997926,60,ON,Part-time,584,714.0,50000.0,10.666704997473103,18,8,On Time,160.00057496209655,0.08771094599962156,15000.0,7.75,1
APP00022,4582.048052522159,56680.90014334145,671.7124307642733,7418.825037525045,28,ON,Part-time,556,759.0,29855.347266456334,39.95487722220795,1,1,On Time,357.86002033729335,0.2650918808404447,25000.0,5.75,1
APP00023,9450.17094248494,61894.33441016867,645.3249622895637,4842.597395735023,86,ON,Part-time,306,627.0,50000.0,23.887508808797033,7,9,On Time,358.31263213195547,0.2227503749237792,10000.0,9.75,0
