applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,total_credit_limit,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,estimated_debt,total_monthly_debt,DTI,approved,approved_amount,interest_rate
A00001,76915,1682.3657910849188,3126.5631435521946,17888.98390961484,64,ON,Part-time,451,723,65277.49789098755,0.23680322271664744,2,6,Late <30,463.73765614395023,2146.103447228869,0.41855653090044553,1,15000.0,7.75
A00002,55992,1899.3474366102002,1782.3309891158347,18146.498154798974,79,MB,Unemployed,203,673,65767.14715299138,0.13687998974645432,12,5,Late >60,270.06619283865035,2169.4136294488508,0.5816134963765152,0,6999.0,9.75
A00003,82945,4607.121713482755,8591.821994111084,27607.612990702935,59,AB,Full-time,423,894,76168.0868375221,0.5761390949505701,18,2,Late >60,1316.5023784405926,5923.624091923348,0.9768187326509523,0,11404.937500000002,8.75
A00004,128491,2862.798621119409,4035.227665072294,19791.59217467945,36,QC,Full-time,192,671,26643.505171645145,0.305876761931008,2,1,Late 30-60,244.48887265184646,3107.2874937712554,0.3456461783949044,0,16500.0,7.75
A00005,53371,2474.6298123314637,3985.437143653825,1069.8606860890986,34,QC,Full-time,292,708,79739.6103105401,0.46729449326979833,19,1,Late <30,1117.8564238078507,3592.4862361393143,0.8149554005108364,0,1069.8606860890986,7.75
A00006,53371,6452.376445533317,1698.8667480662,36856.82922926238,69,MB,Part-time,412,723,31499.48905866058,0.8200127656447366,17,1,Late >60,774.8994941816514,7227.275939714968,1.873597455530421,0,6671.375,9.75
A00007,132151,6509.717452185445,3830.656760857787,37834.13503244569,55,MB,Unemployed,438,773,22096.584393601242,0.5206969750830628,11,7,Late >60,345.1687396024734,6854.8861917879185,0.725525519391722,0,12500.0,8.75
A00008,88063,8245.170697999292,8716.168463288503,37601.75562965175,32,QC,Part-time,300,688,61512.44335691698,0.515889782660372,11,0,Late <30,952.0092310292503,9197.179929028542,1.40697899429973,0,15000.0,7.75
A00009,47446,4177.085669729759,3631.287104896359,17906.012663912865,86,MB,Full-time,259,956,66518.15685297575,0.2781826756953911,20,2,On Time,555.1259656705953,4732.211635400354,1.3327299284199485,0,13047.650000000001,6.75
A00010,78698,730.8509102615023,9516.035624997881,26592.184192247423,48,MB,Part-time,191,622,22788.085609362315,0.7928655644774464,11,7,Late <30,542.0366508008227,1272.887561062325,0.3157365757955345,1,10000.0,9.75
A00011,47590,2736.6638492145767,9463.088992083874,18638.702390656803,78,AB,Full-time,270,828,61229.68918240184,0.7398146240479344,6,5,Late <30,1358.9585844915146,4095.622433706091,1.1737214134294924,0,13087.250000000002,6.75
