applicant_id,credit_score,total_credit_limit,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history
A00001,723,65277.49789098755,0.23680322271664744,2,6,Late <30
A00002,673,65767.14715299138,0.13687998974645432,12,5,Late >60
A00003,894,76168.0868375221,0.5761390949505701,18,2,Late >60
A00004,671,26643.505171645145,0.305876761931008,2,1,Late 30-60
A00005,708,79739.6103105401,0.46729449326979833,19,1,Late <30
A00006,723,31499.48905866058,0.8200127656447366,17,1,Late >60
A00007,773,22096.584393601242,0.5206969750830628,11,7,Late >60
A00008,688,61512.44335691698,0.515889782660372,11,0,Late <30
A00009,956,66518.15685297575,0.2781826756953911,20,2,On Time
A00010,622,22788.085609362315,0.7928655644774464,11,7,Late <30
A00011,828,61229.68918240184,0.7398146240479344,6,5,Late <30
A00012,533,62765.61666923773,0.23412051465857975,8,6,Late <30
A00013,581,24199.59210119849,0.3200045197121383,11,1,On Time
A00014,524,76926.82280917407,0.7886281929915411,18,8,Late <30
A00015,587,36823.176142750985,0.35771780182508994,3,6,On Time
A00016,516,83556.73710602368,0.40355961589309886,9,2,Late >60
A00017,690,44865.77038399136,0.36441227125565245,18,8,Late >60
A00018,590,58231.40251713735,0.16163252651784366,16,2,On Time
A00019,831,91348.07035350936,0.34089653508290796,17,9,Late 30-60
A00020,730,84494.3573482038,0.8029353031038082,9,7,Late <30
A00021,686,82549.08628683642,0.49107535437708927,11,6,Late >60
A00022,706,32834.73580923372,0.45821748327596956,19,2,Late >60
A00023,744,23851.390935968702,0.15635117627582973,7,4,On Time
A00024,799,68460.71605444833,0.17756983853052843,18,6,Late 30-60
A00025,630,52855.331399107825,0.04295016435011911,0,2,Late 30-60
A00026,611,92726.18211443792,0.013955531523223708,3,1,Late 30-60
A00027,721,47967.461085048155,0.48801403807288213,5,8,On Time
A00028,836,52843.86807983378,0.40923235521296497,3,1,On Time
A00029,543,62080.043443913564,0.27537757181157285,15,2,Late <30
A00030,719,83712.05325056895,0.990046540351415,7,0,Late >60
A00031,809,41463.9243280642,0.3979961956545057,8,0,Late >60
A00032,741,95345.65257298993,0.788846899131616,14,0,On Time
A00033,713,63193.68901772305,0.21054559333155676,17,9,Late >60
A00034,734,87278.18089395274,0.24704120860874967,2,2,Late <30
A00035,860,62049.47867648151,0.5683913671847434,16,5,On Time
A00036,759,81759.45565920108,0.004028269702193499,0,9,Late >60
A00037,524,24113.660198743575,0.017425461908900042,6,2,Late 30-60
A00038,671,83936.99853464108,0.14221872114952816,9,3,On Time
A00039,688,61916.75438479539,0.22312104103096309,14,1,Late >60
A00040,782,55953.24705492661,0.5278495157997718,12,6,Late >60
A00041,688,28928.77332894943,0.6862294308161264,4,3,Late <30
A00042,681,79325.00311268104,0.31187866398802566,6,10,Late <30
A00043,684,30493.09220033111,0.23907093600378415,13,0,Late 30-60
A00044,703,35385.42502431945,0.8228111784933211,13,3,Late 30-60
A00045,670,30113.860456771865,0.1627769846806758,8,3,Late 30-60
A00046,638,20526.048617092492,0.6783265550578801,5,10,Late <30
